Classe,Ano,Quantidade
1. Degradação Severa,2015,40.152.230
2. Degradação Moderada,2015,73.678.343
3. Sem Degradação,2015,67.065.159
1. Degradação Severa,2016,37.635.467
2. Degradação Moderada,2016,72.624.884
3. Sem Degradação,2016,69.982.733
1. Degradação Severa,2017,33.038.105
2. Degradação Moderada,2017,71.359.068
3. Sem Degradação,2017,75.379.712
1. Degradação Severa,2018,29.371.208
2. Degradação Moderada,2018,69.846.437
3. Sem Degradação,2018,82.664.829
1. Degradação Severa,2019,23.411.385
2. Degradação Moderada,2019,65.647.573
3. Sem Degradação,2019,85.728.918
1. Degradação Severa,2020,1.302.129
2. Degradação Moderada,2020,7.038.052
3. Sem Degradação,2020,12.215.614
